Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"Sony PlayStation","Games","Owned","Animetic Story Game 1: Card Captor Sakura","Japan","Official","Arika Co., Ltd.","Arika Co., Ltd.","Adventure","Nov 6, 2025","CIB+","6.76","11.69","29.83","11.69","?",?,?,?,"","","Missing Field",
"Sony PlayStation","Games","Owned","Final Fantasy IX","Japan","Official","Squaresoft","Squaresoft","RPG","Nov 6, 2025","CIB+","9.58","9.72","160.6","9.72","?",?,?,?,"","","94",
"Sony PlayStation","Games","Owned","Final Fantasy VII","Japan","Official","Squaresoft","Squaresoft","RPG","Nov 6, 2025","CIB+","13.43","16.92","319.92","16.92","?",?,?,?,"","","92",
"Sony PlayStation 2","Games","Owned","Final Fantasy X","United Kingdom","Official","Squaresoft","Squaresoft","RPG","Nov 6, 2025","Boxed+","6.72","9.7","164.21","9.5","?",?,?,?,"Includes extra movie disc","","92",
"Sony PlayStation 2","Games","Owned","Gran Turismo 4","United Kingdom","Official","Sony Computer Entertainment Europe","Polyphony Digital Inc.","Racing, Sports, Vehicle Sim","Nov 6, 2025","CIB+","5.87","6.88","55.99","6.88","?",?,?,?,"Scratched disc. It doesn't properly load","","89",
"Sony PlayStation 2","Games","Owned","Hello Kitty: Roller Rescue","United Kingdom","Official","HAMSTER Corporation","XPEC Entertainment","Action, Adventure","Nov 6, 2025","CIB+","6.24","7.91","20.1","7.91","?",?,?,?,"","","Missing Field",
"Sony PlayStation 2","Games","Owned","Hitman: Blood Money","United Kingdom","Official","Eidos Interactive","IO Interactive","Action, Stealth","Nov 6, 2025","CIB+","3.98","5.03","72.07","5.03","?",?,?,?,"","","83",
"Sony PlayStation 2","Games","Owned","Kingdom Hearts","United Kingdom","Official","Squaresoft","Squaresoft","Action, RPG","May 6, 2026","CIB+","10.81","12.1","198.28","12.1","-1.0",?,?,?,"Signed copy by Yoko Shimomura ","","85",
"Sony PlayStation 2","Games","Owned","Lord of the Rings: The Return of the King","United Kingdom","Official","EA Games","EA Redwood Shores","Action, RPG","Nov 6, 2025","CIB+","8.5","8.79","33.06","8.79","?",?,?,?,"","","Missing Field",
"Sony PlayStation 2","Games","Owned","Medal of Honor: Frontline","United Kingdom","Official","Electronic Arts","EA Los Angeles","First-person shooter","Nov 6, 2025","CIB+","4.11","6.03","58.58","6.03","?",?,?,?,"Manual in dutch ","","88",
"Sony PlayStation 2","Games","Owned","Need for Speed: Underground 2","United Kingdom","Official","Electronic Arts","EA Black Box","Racing","Nov 6, 2025","CIB+","9.34","18.85","100.68","18.85","?",?,?,?,"Manual in dutch","","82",
"Sony PlayStation 2","Games","Owned","Shin Megami Tensei: Digital Devil Saga 2","United Kingdom","Official","Ghostlight Ltd.","Atlus Co., Ltd.","RPG","Nov 6, 2025","CIB+","14.45","52.37","61.05","52.37","?",?,?,?,"","","82",
"Sony PlayStation 2","Games","Owned","Sonic Riders","United Kingdom","Official","Sega","Sonic Team","Action, Racing","Nov 6, 2025","CIB+","6.52","10.31","39.17","10.31","?",?,?,?,"Lots of water damage","","55",
"Sony PlayStation 2","Games","Owned","Spider-Man 2","United Kingdom","Official","Activision","Treyarch","Action","Nov 6, 2025","Boxed+","4.82","6.62","81.41","4.82","?",?,?,?,"","","80",
"Sony PlayStation 2","Games","Owned","Super Monkey Ball Deluxe","United Kingdom","Official","Sega","Sega","Platformer, Party","Nov 6, 2025","CIB+","5.21","5.98","13.44","5.98","?",?,?,?,"","","78",
"Sony PlayStation 2","Games","Owned","Time Crisis II","United Kingdom","Official","Namco","Namco","First-person shooter, Light Gun","Nov 6, 2025","Boxed","5.74","10.84","46.04","9.1","?",?,?,?,"","","81",
"Sony PlayStation 2","Games","Owned","Tom Clancy's Splinter Cell","United Kingdom","Official","Ubisoft","Ubisoft Shanghai","Action, Third-person shooter","Nov 6, 2025","CIB+","3.8","5.46","47.34","5.46","?",?,?,?,"","","89",
"Sony PlayStation 2","Games","Owned","Tomb Raider: Legend","United Kingdom","Official","Eidos Interactive","Crystal Dynamics","Action, Adventure","Nov 6, 2025","Boxed+","4.69","6.31","41.51","4.69","?",?,?,?,"","","82",
"Nintendo 3DS","Games","Owned","Bravely Default","Japan","Official","Nintendo","Silicon Studio","RPG","Nov 6, 2025","CIB+","14.45","15.36","22.49","15.36","?",?,?,?,"","","85",
"Nintendo 3DS","Games","Owned","Hyrule Warriors Legends [Limited Edition]","United Kingdom","Official","Nintendo","Omega Force, Team Ninja","Action","Nov 6, 2025","CIB+","38.99","46.86","61.75","46.86","-1.0",?,?,?,"","","70",
"Nintendo 3DS","Games","Owned","Inazuma Eleven Go: Light","United Kingdom","Official","Nintendo","Level-5","RPG, Sports","Nov 6, 2025","CIB+","25.81","27.15","40.58","27.15","?",?,?,?,"","","74",
"Nintendo 3DS","Games","Owned","Kid Icarus: Uprising [Big Box]","United Kingdom","Official","Nintendo","Project Sora","Third-person shooter","Nov 6, 2025","CIB+","?","54.39","88.38","54.39","?",?,?,?,"","","83",
"Nintendo 3DS","Games","Owned","Mario Tennis Open [Nintendo Selects]","United Kingdom","Official","Nintendo","Camelot Software Planning","Sports","Nov 6, 2025","CIB+","7.26","11.2","18.07","11.2","?",?,?,?,"","","69",
"Nintendo 3DS","Systems","Owned","New Nintendo 3DS XL [Zelda Majora's Mask Edition]","United Kingdom","Official","Missing Field","Missing Field","Missing Field","Nov 6, 2025","CIB+","429.03","594.87","804.49","594.87","?",?,?,?,"Hacked","","Missing Field",
"Nintendo 3DS","Games","Owned","Pokemon Moon [Fan Edition]","United Kingdom","Official","Nintendo, The Pokemon Company","Game Freak","RPG","Nov 6, 2025","CIB+","21.44","24.01","53.58","24.01","?",?,?,?,"","","87",
"Nintendo 3DS","Games","Owned","Pokemon Mystery Dungeon: Gates To Infinity","United Kingdom","Official","The Pokemon Company","Spike Chunsoft","RPG, Roguelike","Nov 6, 2025","CIB+","18.01","18.71","78.18","18.71","?",?,?,?,"","","59",
"Nintendo 3DS","Games","Owned","Pokémon Omega Ruby","United Kingdom","Official","Nintendo, The Pokemon Company","Game Freak","Action, Adventure, RPG","Nov 6, 2025","CIB+","37.58","38.61","128.52","38.61","?",?,?,?,"","","83",
"Nintendo 3DS","Games","Owned","Pokémon X","United Kingdom","Official","Nintendo, The Pokemon Company","Game Freak","Action, Adventure, RPG","Nov 6, 2025","CIB+","24.81","31.2","65.57","31.2","?",?,?,?,"","","87",
"Nintendo 3DS","Games","Owned","Pokemon Y","United Kingdom","Official","Nintendo","Game Freak","RPG","Nov 6, 2025","CIB+","29.99","33.74","60.64","33.74","?",?,?,?,"","","88",
"Nintendo DS","Games","Owned","Art Academy","United Kingdom","Official","Nintendo","Headstrong Games","Life Sim","Nov 6, 2025","CIB+","3.66","4.98","9.52","4.98","?",?,?,?,"","","75",
"Nintendo DS","Games","Owned","Ben 10 Ultimate Alien: Cosmic Destruction","United Kingdom","Official","D3 Publisher Inc.","Griptonite Games","Action, Adventure","Nov 6, 2025","CIB+","5.7","6.43","13.71","6.43","?",?,?,?,"GAME Sticker","","Missing Field",
"Nintendo DS","Games","Owned","Beyblade Metal Fusion: Cyber Pegasus","United Kingdom","Official","Hudson Soft","Hudson Soft","Action, Adventure","Nov 6, 2025","CIB+","7.38","10.53","50.83","10.53","?",?,?,?,"Bey is used and separate","","Missing Field",
"Nintendo DS","Games","Owned","Bionicle Heroes","United Kingdom","Official","Eidos Interactive","Amaze Entertainment","Action, First-person shooter","Nov 6, 2025","CIB+","5.96","10.83","25.64","10.83","?",?,?,?,"GAME Sticker","","72",
"Nintendo DS","Games","Owned","Catz 2","United Kingdom","Official","Ubisoft","Powerhead Games","Life Sim","Nov 6, 2025","Loose","4.08","4.49","6.28","4.08","?",?,?,?,"","","Missing Field",
"Nintendo DS","Games","Owned","Code Lyoko: Fall of X.A.N.A.","United Kingdom","Official","The Game Factory","The Game Factory","Action, Adventure","Nov 6, 2025","CIB+","?","32.85","61.74","32.85","?",?,?,?,"","","51",
"Nintendo DS","Games","Owned","Inazuma Eleven 2: Firestorm","United Kingdom","Official","Nintendo","Level-5","RPG, Sports","Nov 6, 2025","CIB+","18.72","27.16","63.84","27.16","?",?,?,?,"","","74",
"Nintendo DS","Games","Owned","Learn with Pokémon: Typing Adventure","United Kingdom","Official","Nintendo","Genius Sonority Inc.","Education, Family","Nov 6, 2025","CIB+","21.68","133.95","256.8","133.95","?",?,?,?,"Missing Stand","","Missing Field",
"Nintendo DS","Games","Owned","Mechanic Master","United Kingdom","Official","Midway","Most Wanted Entertainment","Puzzle","Nov 6, 2025","CIB+","3.53","3.59","7.5","3.59","?",?,?,?,"","","76",
